,title,release_date,original_language,popularity,overview,vote_average,vote_count
3653,Percy Jackson: Sea of Monsters,2013-08-07,en,25.324,"In their quest to confront the ultimate evil, Percy and his friends battle swarms of mythical creatures to find the mythical Golden Fleece and to stop an ancient evil from rising.",6.027,4875
3654,Thelma & Louise,1991-05-24,en,25.323,"Whilst on a short weekend getaway, Louise shoots a man who had tried to rape Thelma. Due to the incriminating circumstances, they make a run for it and thus a cross country chase ensues for the two fugitives. Along the way, both women rediscover the strength of their friendship and surprising aspects of their personalities and self-strengths in the trying times.",7.6,3069
3655,Beautiful Boy,2018-10-12,en,25.32,"After he and his first wife separate, journalist David Sheff struggles to help their teenage son, who goes from experimenting with drugs to becoming devastatingly addicted to methamphetamine.",7.554,2259
3656,Outlander,2008-04-24,en,25.32,"During the reign of the Vikings, a man from another world crash-lands on Earth, bringing with him an alien predator. The man must fuse his advanced technology with the weaponry of the vikings to fight the monster.",6.427,1161
3657,Marrowbone,2017-10-27,es,25.314,A young man and his three younger siblings are plagued by a sinister presence in the sprawling manor in which they live.,7.2,1334
3658,The Three Stooges,2012-04-13,en,25.308,"While trying to save their childhood orphanage, Moe, Larry and Curly inadvertently stumble into a murder plot and wind up starring in a reality TV show.",5.779,529
3659,Emanuelle in America,1977-01-05,it,25.306,"An American journalist travels throughout the world in search of a good story by joining a modern-day harem and traveling to Venice to see what really goes on at diplomatic parties. While trying to expose a corrupt government official, Emanuelle stumbles upon a group that uses kidnapped girls to make and sell snuff films",5.024,62
3660,Valkyrie,2008-12-25,en,30.934,"Wounded in Africa during World War II, Nazi Col. Claus von Stauffenberg returns to his native Germany and joins the Resistance in a daring plan to create a shadow government and assassinate Adolf Hitler. When events unfold so that he becomes a central player, he finds himself tasked with both leading the coup and personally killing the Führer.",6.915,3407
3661,The Square,2023-10-30,en,14.72,What begins as a business meeting between a novelist and her ‘for-hire’ public persona soon curdles into a western face-off.,0.0,0
3662,Monsters of Man,2020-11-19,en,18.947,"A robotics company vying to win a lucrative military contract team up with a corrupt CIA agent to conduct an illegal live field test. They deploy four weaponized prototype robots into a suspected drug manufacturing camp in the Golden Triangle, assuming they'd be killing drug runners that no one would miss. Six doctors on a humanitarian mission witness the brutal slaughter and become prime targets.",6.356,289
3663,Theater Camp,2023-07-13,en,23.405,"After the indomitable and beloved founder of a scrappy theater camp in upstate New York falls into a coma, the eccentric staff must band together with her clueless ""crypto-bro"" son to keep the thespian paradise afloat.",6.556,62
3664,Bait,2012-09-05,en,23.682,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,5.659,699
3665,Freaks,2019-09-13,en,33.441,"Kept locked inside the house by her father, 7-year-old Chloe lives in fear and fascination of the outside world, where Abnormals create a constant threat—or so she believes. When a mysterious stranger offers her a glimpse of what's really happening outside, Chloe soon finds that while the truth isn't so simple, the danger is very real.",6.8,1030
3666,The Tourist,2010-12-08,en,23.132,"American tourist Frank meets mysterious British woman Elsie on the train to Venice. Romance seems to bud, but there's more to her than meets the eye.",6.177,5115
3667,Obscene House: Slave Wife,2020-02-06,ko,21.751,"Hyun-jung, who moved to a local mansion, was delighted with unexpected luck. She hated the noise between the floors so she wanted a quiet place with soundproofing. Since the tenants were mostly working couples, the mansion is quiet like a haunted city.",5.5,2
3668,The Bodyguard,1992-11-25,en,28.378,"A former Secret Service agent grudgingly takes an assignment to protect a pop idol who's threatened by a crazed fan. At first, the safety-obsessed bodyguard and the self-indulgent diva totally clash. But before long, all that tension sparks fireworks of another sort, and the love-averse tough guy is torn between duty and romance.",6.667,2687
3669,Heaven Is for Real,2014-04-16,en,31.18,"The true story of the 4-year old son of a small-town pastor who, during emergency surgery, slips from consciousness and enters heaven. When he awakes, he recounts his experiences on the other side.",6.717,706
3670,See for Me,2022-01-07,en,17.404,"When blind former skier Sophie cat-sits in a secluded mansion, three thieves invade for the hidden safe. Sophie's only defense is army veteran Kelly, who she meets on the See For Me app. Kelly helps Sophie defend herself against the invaders and survive.",6.028,163
3671,Code Name Banshee,2022-07-01,en,27.465,"Caleb, a former government assassin in hiding, who resurfaces when his protégé, the equally deadly killer known as Banshee, discovers a bounty has been placed on Caleb's head.",5.927,110
3672,Undryable Daughter-in-Law,2020-09-10,ko,28.5,"Seung-ha hasn't been married for a while..I am dissatisfied with my husband Dojin's sex because I am increasingly not satisfied. I start to doubt whether Dojin is having an affair. Father-in-law Hae-il loves Seung-ha, who is open and friendly. But that degree began to pass, and finally I started dreaming of having sex with Seung-ha. One day, Seung-hae Do-jin had a woman she met before marriage. You find out that you are still having an affair with her.  So angry, Seungha decides to divorce...",3.5,2
3673,A Newly Wedded Couple's Sex Life,2018-07-12,ko,33.304,"Jung-sik and Ji-young got married after a hot relationship, but it has cooled down. One day, Yoon-soo and Sun-young move in next door. They have been married for 5 years, but still look like they're madly in love. Ji-young talks to them about her problems and they decide to help her sex life.",9.5,4
3674,Cloud Atlas,2012-10-26,en,29.127,"A set of six nested stories spanning time between the 19th century and a distant post-apocalyptic future. Cloud Atlas explores how the actions and consequences of individual lives impact one another throughout the past, the present and the future. Action, mystery and romance weave through the story as one soul is shaped from a killer into a hero and a single act of kindness ripples across centuries to inspire a revolution in the distant future.  Based on the award winning novel by David Mitchell. Directed by Tom Tykwer and the Wachowskis.",6.883,6695
3675,Sword Art Online: Extra Edition,2013-12-31,ja,24.489,Kirito and some of his new friends look back at the events of season one. Kirito recalls his defining moments while Suguha learns to swim with the help of Asuna and other girls who fought alongside Kirito.,5.3,10
3676,The Tale of The Princess Kaguya,2013-11-23,ja,24.677,"Found inside a shining stalk of bamboo by an old bamboo cutter and his wife, a tiny girl grows rapidly into an exquisite young lady. The mysterious young princess enthrals all who encounter her. But, ultimately, she must confront her fate.",8.107,1579
3677,Kimi,2022-02-10,en,27.453,"A tech worker with agoraphobia discovers recorded evidence of a violent crime but is met with resistance when she tries to report it. Seeking justice, she must do the thing she fears the most: leave her apartment.",6.222,750
3678,Parker,2013-01-23,en,26.126,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",6.026,2834
3679,The Rundown,2003-09-26,en,28.373,"When Travis, the mouthy son of a criminal, disappears in the Amazon in search of a treasured artifact, his father sends in Beck, who becomes Travis's rival for the affections of Mariana, a mysterious Brazilian woman. With his steely disposition, Beck is a man of few words -- but it takes him all the discipline he can muster to work with Travis to nab a tyrant who's after the same treasure.",6.449,1823
3680,Mission: Possible,2021-02-17,ko,22.439,"A chinese secret agent Da-hee receives intel that a large number of illegal firearms are being smuggled into Korea and is sent to investigate the case. She meets Su-han, who was supposed to help her with the case but due to his lackluster skills, they keep fighting over really trivial things. But as their witnesses are suddenly murdered, the two of them quickly become the prime suspects.",7.6,136
3681,Scooby-Doo! Return to Zombie Island,2019-09-03,en,19.931,"Scooby-Doo and his pals win an all-expense paid vacation and embark on a trip of a lifetime to a tropical paradise. Their destination however, turns out to be Zombie Island. As soon as they arrive, they realize the place looks strangely familiar and is reminiscent of a trip they took years ago, in which they became wrapped up in a mystery involving zombies. The gang soon learns that their trip to paradise comes with a price when the zombies re-emerge and attack their hotel. Will Scooby-Doo and the Mystery Inc. gang finally solve the mystery behind Zombie Island?",7.011,895
3682,Fracture,2007-04-19,en,24.621,"A husband is on trial for the attempted murder of his wife, in what is seemingly an open/shut case for the ambitious district attorney trying to put him away. However, there are surprises for both around every corner, and, as a suspenseful game of cat-and-mouse is played out, each must manipulate and outwit the other.",7.28,3626
3683,School of Rock,2003-10-03,en,24.07,"Fired from his band and hard up for cash, guitarist and vocalist Dewey Finn finagles his way into a job as a fifth-grade substitute teacher at a private school, where he secretly begins teaching his students the finer points of rock 'n' roll. The school's hard-nosed principal is rightly suspicious of Finn's activities. But Finn's roommate remains in the dark about what he's doing.",7.074,5197
3684,Rurouni Kenshin Part II: Kyoto Inferno,2014-08-01,ja,27.923,"Kenshin has settled into his new life with Kaoru and his other friends when he is approached with a request from the Meiji government. Makoto Shishio, a former assassin like Kenshin, was betrayed, set on fire and left for dead. He survived, and is now in Kyoto, plotting with his gathered warriors to overthrow the new government. Against Kaoru's wishes, Kenshin reluctantly agrees to go to Kyoto and help keep his country from falling back into civil war.",7.6,517
3685,Flashdance,1983-04-14,en,22.419,"Alex Owens, a teen juggling between two odd jobs, aspires to become a successful ballet dancer. Nick, who is her boss and lover, supports and encourages her to fulfil her dream.",6.486,1320
3686,Volcano,1997-04-25,en,22.917,"An earthquake shatters a peaceful Los Angeles morning and opens a fissure deep into the earth, causing lava to start bubbling up. As a volcano begins forming in the La Brea Tar Pits, the director of the city's emergency management service, working with a geologist, must then use every resource in the city to try and stop the volcano from consuming LA.",5.883,1377
3687,Out of Time,2003-10-03,en,24.437,"Matt Lee Whitlock, respected chief of police in small Banyan Key, Florida, must solve a vicious double homicide before he himself falls under suspicion. Matt Lee has to stay a few steps ahead of his own police force and everyone he's trusted in order to find out the truth.",6.3,1048
3688,Fear,1996-04-12,en,21.865,"Nicole Walker always dreamed of being swept away by someone special — someone strong, sexy and sensitive who would care for her more than anything else in the world. David is all that and more: a modern-day knight who charms and seduces her, body and soul. But her perfect boyfriend is not all he seems to be. His sweet facade masks a savage, dark side that will soon transform Nicole's dream into a nightmare.",6.365,708
3689,Tokyo Revengers,2021-07-09,ja,21.685,An unemployed man learns that his ex-girlfriend was murdered. He suddenly finds himself travelling through time to his middle school years and has chance to change the future and save the girl. He aims to rise to the top of the most brutal delinquent gang.,7.9,217
3690,My Cousin Vinny,1992-03-13,en,30.263,"Two carefree pals traveling through Alabama are mistakenly arrested, and charged with murder. Fortunately, one of them has a cousin who's a lawyer - Vincent Gambini, a former auto mechanic from Brooklyn who just passed his bar exam after his sixth try. When he arrives with his leather-clad girlfriend, to try his first case, it's a real shock - for him and the Deep South!",7.485,1385
3691,Inuyasha the Movie 4: Fire on the Mystic Island,2004-12-23,ja,23.664,"The mysterious island of Houraijima has reappeared after 50 years, and with its reappearance has brought the attack of four gods, the Shitoushin, who have their eyes set on the powers that protect and sustain the island. Now it's up to Inuyasha and his friends, along with Sesshoumaru, to find a way to defeat the powerful Shitoushin.",7.51,101
3692,The Silence,2019-05-16,en,18.923,"With the world under attack by deadly creatures who hunt by sound, a teen and her family seek refuge outside the city and encounter a mysterious cult.",6.007,1407
3693,Dragonball Evolution,2009-03-12,en,25.614,"On his 18th birthday, Goku receives a mystical Dragonball as a gift from his grandfather. There are only six others like it in the whole world, and legend has it that whoever possesses all seven will be granted one perfect wish. When the arrival of a dark force triggers a tragedy, Goku and his companions are propelled into an epic quest to collect the seven Dragonballs and save the Earth from destruction.",2.89,1916
3694,The Many Saints of Newark,2021-09-22,en,23.935,"Young Anthony Soprano is growing up in one of the most tumultuous eras in Newark, N.J., history, becoming a man just as rival gangsters start to rise up and challenge the all-powerful DiMeo crime family. Caught up in the changing times is the uncle he idolizes, Dickie Moltisanti, whose influence over his nephew will help shape the impressionable teenager into the all-powerful mob boss, Tony Soprano.",6.401,568
3695,George of the Jungle,1997-07-15,en,22.412,"Deep in the African jungle, a baby named George, the sole survivor of a plane crash, is raised by gorillas. George grows up to be a buff and lovable klutz who has a rain forest full of animal friends: Tookie, his big-beaked toucan messenger; Ape, a witty talking gorilla; and Shep, a peanut-loving pooch of an elephant. But when poachers mess with George's pals, the King Of Swing swings into action.",5.596,1941
3696,Conan the Destroyer,1984-06-29,en,25.91,"Conan is commissioned by the evil queen Taramis to safely escort a teen princess and her powerful bodyguard to a far away castle to retrieve the magic Horn of Dagoth. Unknown to Conan, the queen plans to sacrifice the princess when she returns and inherit her kingdom after the bodyguard kills Conan. The queen's plans fail to take into consideration Conan's strength and cunning and the abilities of his sidekicks: the eccentric wizard Akiro, the warrior woman Zula, and the inept Malak. Together the hero and his allies must defeat both mortal and supernatural foes in this voyage to sword-and-sorcery land.",6.083,1360
3697,Speed 2: Cruise Control,1997-06-13,en,25.06,"A disgruntled former employee hijacks the Seabourn Legend cruise liner. Set on a fixed course, without any means of communication and at the mercy of the hijacker, it's up to the one cop on vacation, and his soon to be fiancé (hopefully) Annie, to regain control of it before it kills the passengers and causes an environmental disaster. Insurmountable and daunting tasks awaits them on their  perilous journey throughout the ship trying to fend off the hijacker and save the passengers.",4.561,1495
3698,The Collection,2012-09-21,en,29.862,"Arkin escapes with his life from the vicious grips of ""The Collector"" during an entrapment party where he adds beautiful Elena to his ""Collection."" Instead of recovering from the trauma, Arkin is suddenly abducted from the hospital by mercenaries hired by Elena's wealthy father. Arkin is blackmailed to team up with the mercenaries and track down The Collector's booby trapped warehouse and save Elena.",6.269,931
3699,Brick Mansions,2014-04-22,en,24.912,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",5.896,1438
3700,In Search of Darkness: 1990 - 1994,2023-11-01,en,25.186,Capturing the essence of ‘90s horror.,0.0,0
3701,The Cell,2000-08-17,en,25.175,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.,6.263,1412
3702,God's Not Dead,2014-03-21,en,25.174,"After he refuses to disavow his faith, a devout Christian student must prove the existence of God or else his college philosophy professor will fail him.",6.039,837
3703,The Heat,2013-06-27,en,25.174,"Uptight and straight-laced, FBI Special Agent Sarah Ashburn is a methodical investigator with a reputation for excellence--and hyper-arrogance. Shannon Mullins, one of Boston P.D.'s ""finest,"" is foul-mouthed and has a very short fuse, and uses her gut instinct and street smarts to catch the most elusive criminals. Neither has ever had a partner, or a friend for that matter. When these two wildly incompatible law officers join forces to bring down a ruthless drug lord, they become the last thing anyone expected: buddies.",6.6,3717
3704,Big Trip 2: Special Delivery,2022-10-07,ru,25.17,"It has been a year since Mic Mic and Oscar returned from their incredible adventure. And now, after a diabolical plan by Vulture to sabotage the delivery of the Grizzly cub to his opponent in the American presidential elections, Mic Mic, Oscar, Panda teenager and Stork set off on another great adventure as they ride a zeppelin to return little Grizzly to its rightful parents and save the American elections and the whole continent from an erupting volcano.",6.5,80
3705,Antichrist,2009-05-20,en,25.169,"A grieving couple retreats to their cabin 'Eden' in the woods, hoping to repair their broken hearts and troubled marriage. But nature takes its course and things go from bad to worse.",6.639,2371
3706,Tell Them You Love Me,2023-11-01,en,25.155,"A true crime documentary inspired by one of the most polarising criminal trials of recent history. It explores themes including disability, race, sex and perception of consent by looking back on the controversial case of philosophy professor Anna Stubblefield.",0.0,0
3707,Code 8,2019-12-06,en,25.154,"In Lincoln City, some inhabitants have extraordinary abilities. Most live below the poverty line, under the close surveillance of a heavily militarized police force. Connor, a construction worker with powers, involves with a criminal gang to help his ailing mother. (Based on the short film “Code 8,” 2016.)",6.2,1602
3708,The Red Mirror,2023-10-31,en,25.151,"The Red Mirror is a horror short film, that follows Kylie through these night terrors she's been having. Something doesn't feel right and it's almost like there's a Malevolant force lurking in the darkness.",0.0,0
3709,Paul Blart: Mall Cop,2009-01-15,en,25.144,"Mild-mannered Paul Blart has always had huge dreams of becoming a State Trooper. Until then, he patrols the local mall as a security guard. With his closely cropped moustache, personal transporter and gung-ho attitude, only Blart seems to take his job seriously. All that changes when a team of thugs raids the mall and takes hostages. Untrained, unarmed and a super-size target, Blart has to become a real cop to save the day.",5.41,2305
3710,V/H/S/2,2013-06-06,en,25.138,"Inside a darkened house looms a column of TVs littered with VHS tapes, a pagan shrine to forgotten analog gods. The screens crackle and pop endlessly with monochrome vistas of static white noise permeating the brain and fogging concentration. But you must fight the urge to relax: this is no mere movie night. Those obsolete spools contain more than just magnetic tape. They are imprinted with the very soul of evil.",6.221,953
3711,Superhero Movie,2008-03-28,en,25.13,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",5.241,1654
3712,The Hurt Locker,2008-10-10,en,25.128,"During the Iraq War, a Sergeant recently assigned to an army bomb squad is put at odds with his squad mates due to his maverick way of handling his work.",7.255,5223
3713,Detective Conan: Dimensional Sniper,2014-04-19,ja,25.117,"A vicious sniper has appeared in Tokyo, rendering the people too scared to go outside, once again it's up to Conan to figure out the meaning behind the killings and capture the mysterious sniper before more lives are lost.",6.883,98
3714,Shoot 'Em Up,2007-07-26,en,25.107,"A man named Mr. Smith delivers a woman's baby during a shootout, and is then called upon to protect the newborn from the army of gunmen.",6.45,1732
3715,Climax,2018-09-19,fr,25.096,"When a dance troupe is lured to an empty school, a bowl of drug-laced sangria causes their jubilant rehearsal to descend into a dark and explosive nightmare as they try to survive the night—and find who's responsible—before it's too late.",7.1,1879
3716,The Karate Kid Part III,1989-06-16,en,25.096,"Despondent over the closing of his karate school, Cobra Kai teacher John Kreese joins a ruthless businessman and martial artist to get revenge on Daniel and Mr. Miyagi.",5.9,1444
3717,Hollow Man,2000-08-04,en,25.083,"Cocky researcher Sebastian Caine is working on a project to make living creatures invisible. Determined to achieve the ultimate breakthrough, Caine pushes his team to move to the next phase — using himself as the subject. The test is a success, but when the process can't be reversed and Caine seems doomed to future without flesh, he starts to turn increasingly dangerous.",5.919,2321
3718,Grimsby,2016-02-24,en,25.075,"Wrongfully accused and on the run, a top MI6 assassin joins forces with his long-lost, football hooligan brother to save the world from a sinister plot.",5.9,2150
3719,Brotherhood of the Wolf,2001-01-31,fr,25.075,"In 18th century France, the Chevalier de Fronsac and his Native American friend Mani are sent by the King to the Gevaudan province to investigate the killings of hundreds by a mysterious beast.",6.718,1377
3720,Romeo + Juliet,1996-11-01,en,24.763,"In director Baz Luhrmann's contemporary take on William Shakespeare's classic tragedy, the Montagues and Capulets have moved their ongoing feud to the sweltering suburb of Verona Beach, where Romeo and Juliet fall in love and secretly wed. Though the film is visually modern, the bard's dialogue remains.",6.797,4701
3721,An Officer and a Gentleman,1982-07-28,en,24.761,"Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.",7.014,1000
3722,Amigos hasta la muerte,2023-09-22,es,14.856,"María, Nacho and Suso are three lifelong friends. The three have experienced many things together, some very beautiful and others not so much, things that united or separated them. And suddenly, in the middle of life, they must face death.",7.667,6
3723,Blue Velvet,1986-09-19,en,24.755,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",7.632,2980
3724,Nanny McPhee and the Big Bang,2010-03-26,en,28.215,"Nanny McPhee appears at the door of a harried young mother who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",6.277,1716
3725,Pornocracy: The New Sex Multinationals,2017-03-12,fr,22.639,Never before have we watched as much porn as today yet the traditional porn industry is dying. The arrival of web sites showing amateur clips has transformed the way porn is made and consumed. Behind this transformation lies one opaque multinational.,6.718,39
3726,Emmanuelle in Space 4: Concealed Fantasy,1994-09-27,en,20.291,"As Emmanuelle demonstrates the hidden joys of sexual fantasy to her intergalactic students, the alien's leader is torn between love and jealousy.",5.4,11
3727,Silence,2016-12-22,en,20.465,"Two Jesuit priests travel to seventeenth century Japan which has, under the Tokugawa shogunate, banned Catholicism and almost all foreign contact.",7.121,2838
3728,Ivy + Bean: The Ghost That Had to Go,2022-09-02,en,19.274,"Cold, white mist. Clanking pipes. And an eerie voice that's coming from the drain. Is the school bathroom... haunted? Ivy and Bean are on the case!",6.7,9
3729,Iron Mask,2019-08-16,ru,27.97,"Commissioned to map the Far East territories of the Russian Empire, cartographer Jonathan Green sets off on a long journey of unbelievable adventures—making breath-taking discoveries and meeting mysterious creatures, Chinese princesses, deadly masters of oriental martial arts, and even the King of Dragons.",6.203,385
3730,My Fairy Troublemaker,2022-10-13,de,27.998,"Violetta (337), a curious and cheeky fairy, gets lost in the human world. To find her way back to the fairy world, she teams up with the human girl Maxie (12) and discovers her true destiny.",7.4,33
3731,Guardians,2017-02-14,ru,31.665,"During the Cold War, an organization called ""Patriot"" created a super-hero squad, which includes members of multiple soviet republics. For years, the heroes had to hide their identities, but in hard times they must show themselves again.",5.032,725
3732,The Corpse of Anna Fritz,2015-03-15,es,24.413,"Anna Fritz is a beautiful and famous actress. Suddenly her body is found in a hotel and the news of her death goes around the planet. The young, shy caretaker Pau works at the hospital where they carried the body of Anna Fritz. He and his friends  decide to take pictures of the body of Anna Fritz.  They decide they could make love to her and nobody would know. They are in front of Anna Fritz ... and can do with it what  they want.",6.891,498
3733,Dial M for Murder,1954-05-29,en,24.716,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead.",8.0,2361
3734,Werewolf: The Beast Among Us,2012-10-09,en,19.46,"Set in a 19th century village, a young man studying under a local doctor joins a team of hunters on the trail of a wolf-like creature.",5.948,221
3735,Marie Antoinette,2006-05-24,en,24.711,"A retelling of France's iconic but ill-fated queen, Marie Antoinette, from her betrothal and marriage to Louis XVI at 15 to her reign as queen at 19 and ultimately the fall of Versailles.",6.669,2487
3736,Police Academy 2: Their First Assignment,1985-03-28,en,24.709,"Officer Carey Mahoney and his cohorts have finally graduated from the Police Academy and are about to hit the streets on their first assignment. Question is, are they ready to do battle with a band of graffiti-tagging terrorists? Time will tell, but don't sell short this cheerful band of doltish boys in blue.",6.051,1399
3737,Stonehearst Asylum,2014-10-23,en,24.701,"A Harvard Medical School graduate takes a position at a mental institution and soon becomes obsessed with a female mental patient, but he has no idea of a recent and horrifying staffing change.",6.819,1306
3738,Flash Gordon,1980-09-01,en,24.701,A football player and his mates travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.,6.188,870
3739,The Layover,2017-09-01,en,21.662,"When their plane is rerouted due to a hurricane warning, two single female best friends find themselves competing for the same guy during an extended layover in St. Louis.",5.386,653
3740,Scooby-Doo on Zombie Island,2001-10-17,en,24.996,"After going their separate ways, Scooby-Doo, Shaggy, Velma, Daphne, and Fred reunite to investigate the ghost of Moonscar the pirate on a haunted bayou island, but it turns out the swashbuckler's spirit isn't the only creepy character on the island. The sleuths also meet up with cat creatures and zombies... and it looks like for the first time in their lives, these ghouls might actually be real.",7.701,672
3741,Once Upon a Time in China II,1992-04-16,cn,24.988,"Wong Fei-Hung faces the White Lotus Society, a fanatical cult seeking to drive the Europeans out of China through violence, even attacking Chinese who follow Western ways. Wong must also defend Dr. Sun Yat Sen, a revolutionary, from the military.",7.155,216
3742,Infinite Storm,2022-03-25,en,24.985,One woman's journey for self-discovery and turns into a harrowing tale of survival.,5.784,201
3743,Justice League: Doom,2012-02-28,en,24.983,"An adaptation of Mark Waid's ""Tower of Babel"" story from the JLA comic. Vandal Savage steals confidential files Batman has compiled on the members of the Justice League, and learns all their weaknesses.",7.418,797
3744,Restless,2022-02-25,fr,24.982,"After going to extremes to cover up an accident, a corrupt cop's life spirals out of control when he starts receiving threats from a mysterious witness.",6.07,341
3745,A Good Person,2023-03-23,en,24.982,Allison's life falls apart following her involvement in a fatal accident. The unlikely relationship she forms with her would-be father-in-law helps her live a life worth living.,7.062,193
3746,The Blue Lagoon,1980-07-05,en,24.981,"Two small children and a ship's cook survive a shipwreck and find safety on an idyllic tropical island. Soon, however, the cook dies and the young boy and girl are left on their own. Days become years and Emmeline and Richard make a home for themselves surrounded by exotic creatures and nature's beauty. But will they ever see civilization again?",6.156,1676
3747,Menace II Society,1993-05-26,en,24.97,A young street hustler attempts to escape the rigors and temptations of the ghetto in a quest for a better life.,7.5,695
3748,Lovelace,2013-08-08,en,24.965,"Story of Linda Lovelace, who is used and abused by the porn industry at the behest of her coercive husband, before taking control of her life.",6.032,631
3749,The Christmas Pledge,2023-11-01,en,24.961,"June and Declan, once at odds, are forced to work together at a local TV station to keep June out from under her father's thumb. When their Christmas concert idea fails to save the station, they must look to the heart of the matter.",0.0,0
3750,Margaret Thatcher: Prime Minister,2013-04-08,en,24.959,"BBC memorial portrait of recently deceased Margaret Thatcher. With the help of never-before-seen archive material and interviews with colleagues and family, a portrait is painted of a politician who many have an opinion about and who has left a great impression, both in British politics and in the world.",0.0,0
3751,Detective Conan: Captured in Her Eyes,2000-04-22,ja,24.959,"Police officers around Tokyo are being murdered by an unknown assailant. When Ran witnesses an attempt on the life of one of her friends in the police, she loses her memory. Now, Conan and Inspector Megure must find the murderer while Ran attempts to regain her lost memories.",7.406,149
3752,One Piece: The Desert Princess and the Pirates: Adventure in Alabasta,2007-03-03,ja,24.952,"A re-telling of the Alabaster Arc from One Piece (TV). Luffy and his crew come to rescue a land in the midst of a civil war, due to a powerful devil fruit user.",6.839,127
3753,Dungeons & Dragons,2000-12-08,en,24.952,"The Empire of Izmer is a divided land: elite magicians called “mages” rule while lowly commoners are powerless. When Empress Savina vows to bring equality and prosperity to her land, the evil mage Profion plots to depose her.",4.322,573
3754,Under the Skin,2014-03-14,en,24.943,A seductive stranger prowls the streets of Glasgow in search of prey: unsuspecting men who fall under her spell.,6.123,3148
3755,Kung Fu Jungle,2014-10-31,cn,24.935,"A martial arts instructor working at a police academy gets imprisoned after killing a man by accident. But when a vicious killer starts targeting martial arts masters, the instructor offers to help the police in return for his freedom.",6.744,395
3756,Never Back Down: Revolt,2021-11-15,en,24.933,An amateur fighter is lured by a trafficking syndicate specializing in elite underground fighting where her brutal captor forces her to fight or face certain death.,6.5,117
3757,Hot Girls Wanted,2015-05-29,en,24.932,A first-ever look at the realities of the professional “amateur” porn world and the steady stream of 18-to-19-year old girls entering into it.,6.014,558
3758,Creepshow,1982-11-10,en,24.93,"Inspired by the E.C. comics of the 1950s, George A. Romero and Stephen King bring five tales of terror to the screen.",6.931,912
3759,Batman and Superman: Battle of the Super Sons,2022-10-17,en,24.927,"After discovering he has powers, 11-year-old Jonathan Kent and assassin-turned-Boy-Wonder Damian Wayne must join forces to rescue their fathers (Superman & Batman) and save the planet from the malevolent alien force known as Starro.",7.685,241
3760,Where Eagles Dare,1968-12-04,en,24.921,"World War II is raging, and an American general has been captured and is being held hostage in the Schloss Adler, a Bavarian castle that's nearly impossible to breach. It's up to a group of skilled Allied soldiers to liberate the general before it's too late.",7.562,796
3761,Survivor,2015-05-21,en,24.919,"A Foreign Service Officer in London tries to prevent a terrorist attack set to hit New York, but is forced to go on the run when she is framed for crimes she did not commit.",5.662,947
3762,All About Anna,2005-11-24,en,24.917,"Anna is a young costume designer, focused on her job and wary of getting caught in romantic relationships. She has just found a new apartment, and is tempted to let her latest boyfriend, Frank, move in with her. Instead, she finds a tenant: The flamboyant, fun-loving Camilla, who shares Anna’s views on love and commitment. For both of them, it’s all about fun.",3.5,97
3763,Grotesque,2022-07-30,en,24.916,Mildred Moyer transforms from shy misfit to loveable psychopath when her back-alley plastic surgery is botched. Mildred finds herself living her best life as she unleashes brutal vengeance on all those who tormented her in the past.,3.5,10
3764,Brick Mansions,2014-04-22,en,24.912,"In a dystopian Detroit, grand houses that once housed the wealthy are now homes of the city's most-dangerous criminals. Surrounding the area is a giant wall to keep the rest of Detroit safe. For undercover cop Damien Collier, every day is a battle against corruption as he struggles to bring his father's killer, Tremaine, to justice. Meanwhile, Damien and an ex-con named Lino work together to save the city from a plot to destroy it.",5.897,1439
